Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-28T01:39:20.599Z,7.282585,1.0026565,-7.02938,10.171211703804873,29.4183,37986.37289141789,-378.294,-27.0842,-42.7542,381.66454635357474,14.312901345183631
2008-05-28T01:40:55.338Z,7.048719999999999,2.284845,-5.6885449999999995,9.341547758773704,25.7058,34166.039068809194,-379.276,-36.1831,-43.2994,383.4505690985084,12.623981935314806
2008-05-28T01:42:33.169Z,6.41794,1.51687,-4.47468,7.969542618174521,26.8695,35557.93446859904,-382.008,-33.7044,-35.158,385.100225405491,13.309250444942785
2008-05-28T01:44:11.000Z,6.94391,1.64586,-4.624925,8.503921006413746,25.543,31131.003438338175,-382.271,-39.5745,-38.3177,386.2195031643793,12.72584917864625
2008-05-28T01:45:48.833Z,7.25273,1.5504950000000002,-6.029545,9.558323080172066,28.3525,37166.43033750484,-374.397,-30.925,-44.6568,378.3169293333831,13.553435019414323
2008-05-28T01:47:29.721Z,6.29817,0.399175,-4.750505,7.898960930688922,29.4065,35358.92638697586,-377.157,-28.5862,-47.4314,381.2011426863776,14.272438874857375
2008-05-28T01:49:04.495Z,5.647935,0.19407449999999998,-5.54309,7.915976340532812,30.8368,34416.31562119566,-377.229,-30.4291,-44.6481,381.0788650678754,14.957034559382333
2008-05-28T01:50:42.326Z,8.325135,4.126725,-6.08409,11.10647933064074,32.2516,32666.568403243964,-379.083,-28.3186,-47.0362,383.03820710916034,15.804542311397917
2008-05-28T01:52:20.157Z,8.410495000000001,3.10175,-5.85733,10.708202180404749,29.9155,35605.61651876088,-380.459,-27.9131,-42.8195,383.877195744759,14.724052588578823
2008-05-28T01:53:57.988Z,7.90569,2.405625,-4.86252,9.588068980098392,31.0569,36779.78704972948,-379.96,-30.0788,-44.2934,383.7137488975343,15.27282206144398
2008-05-28T01:55:38.878Z,7.90366,2.5795399999999997,-5.324645,9.872877614111552,33.0303,46297.96612452176,-385.175,-37.2436,-37.2492,388.7600407276962,16.673325281003173
2008-05-28T01:57:13.651Z,7.137465000000001,3.31096,-5.717515000000001,9.72603930297683,26.8936,32355.995502084552,-377.64,-32.973,-47.9906,382.1024548695807,13.114600444649817
2008-05-28T01:58:51.623Z,6.948475,3.38636,-6.0106649999999995,9.791671594648689,27.9783,41122.6717382802,-377.997,-35.2812,-42.4728,382.0084211405293,13.636837425077056
2008-05-28T02:00:32.372Z,7.5690349999999995,4.24874,-6.062275,10.587410476336977,31.1087,49490.519744686004,-378.168,-34.5792,-54.455,383.6301660735767,15.291631691313414
2008-05-28T02:02:04.088Z,7.60728,3.71277,-6.569,10.71480896102679,28.731,41390.22618206523,-381.314,-32.868,-52.3451,386.2909285939938,14.319446397933934
2008-05-28T02:03:38.827Z,8.558295000000001,4.341075,-7.151845,11.968217593554815,27.7166,37848.10604939131,-378.393,-45.3255,-45.8468,383.84579256452713,13.639548365569155
2008-05-28T02:05:24.478Z,6.816535,2.13978,-5.67881,9.126482940910206,30.9448,53645.742259004845,-375.132,-36.6956,-47.2612,379.87393370538075,14.914652360619908
2008-05-28T02:06:59.957Z,7.232275,1.7417500000000001,-4.906665,8.911501341544533,31.0346,50781.19738233819,-374.768,-44.2407,-28.8841,378.47402102826027,14.847890894836228
2008-05-28T02:08:38.612Z,8.91668,-0.8631935,-8.334125,12.235600710895532,30.3408,46560.723634086986,-373.656,-45.0806,-35.3629,378.0232817284803,14.481401364958112
2008-05-28T02:10:18.677Z,10.3711,1.0516485,-10.050105,14.479996211621648,31.2285,46187.0653082802,-372.651,-44.6891,-38.2535,377.2654419928494,14.84539102140263
2008-05-28T02:12:01.918Z,10.772,1.75145,-10.6024,15.2155988006552,30.6474,44007.900265620774,-374.634,-44.4687,-36.4492,379.0206371905493,14.705026728881691
2008-05-28T02:13:41.277Z,10.91615,1.710905,-10.767,15.427826021235948,29.9833,46886.91541113045,-376.456,-41.7781,-39.4754,380.81864027482953,14.523199161643198
2008-05-28T02:15:16.051Z,10.927700000000002,1.866505,-10.7501,15.442251073435667,35.1663,61711.981240519344,-380.777,-51.4075,-41.3917,386.45456086600916,17.54163288534922
2008-05-28T02:16:53.883Z,10.77355,1.917295,-10.4927,15.16054593375598,33.4272,51880.543666975864,-377.953,-39.4691,-28.6211,381.0845672931666,16.213963454839785
2008-05-28T02:18:36.160Z,10.3855,0.4201795,-9.79552,14.282414821472603,32.4572,53680.17021298312,-388.441,-58.1081,-43.42,395.1559921937284,16.92757171818408
2008-05-28T02:20:07.194Z,10.4666,0.780042,-10.08493,14.555548570447765,31.0492,35001.073515584554,-392.27,-45.7499,-50.149,398.10014877039424,16.435448557946472
2008-05-28T02:21:45.026Z,10.8523,2.2899399999999996,-9.943125,14.895703248226482,30.8583,31652.233828019336,-385.944,-49.2486,-46.1156,391.79694269011344,15.821241113257438
2008-05-28T02:23:22.011Z,10.74695,3.76282,-9.727815,14.976185540020696,30.349,32577.32163756522,-384.066,-50.7943,-45.6084,390.08573342157746,15.424496162452423
2008-05-28T02:25:02.898Z,10.92965,2.82084,-10.217275,15.225212506028447,29.726,32961.09560556281,-383.953,-50.2258,-47.4433,390.1197302233379,15.110497756213055
2008-05-28T02:26:40.730Z,11.4299,0.7642835,-11.376000000000001,16.144352550609526,28.3365,33543.645584077305,-382.602,-49.2201,-49.3971,388.9048497208796,14.31460576509094
2008-05-28T02:28:21.619Z,11.5762,-0.03335850000000001,-11.42725,16.26627067867808,29.4992,36916.33438190339,-381.651,-51.8671,-49.2942,388.3009142624441,14.855714051932688
2008-05-28T02:29:55.004Z,11.4856,0.6675610000000001,-11.4048,16.199818149865788,27.0257,31529.18880283817,-379.571,-52.8429,-49.4495,386.4088109394764,13.477751967542458
2008-05-28T02:31:34.224Z,11.317,0.3303585,-11.1636,15.899987128879138,30.3726,36808.0510784831,-384.266,-53.8615,-39.5464,390.03248286676074,15.432276385410551
2008-05-28T02:33:08.999Z,11.2793,0.49895,-11.258,15.944093689905989,31.5936,41049.034040260885,-383.53,-49.3788,-43.9868,389.1893695409472,15.983339366166225
2008-05-28T02:34:49.887Z,11.130849999999999,0.8438445,-11.094899999999999,15.738637211419553,28.1362,27272.584590065224,-378.271,-50.9556,-62.1956,386.7217543295438,14.054296633718085
2008-05-28T02:36:23.273Z,10.83185,0.63995,-10.79975,15.30924918105065,30.7682,28972.266879630442,-377.817,-49.0461,-59.8316,385.6566163995764,15.284461063587022
2008-05-28T02:38:01.810Z,10.586300000000001,0.6310614999999999,-10.54805,14.957584868864435,31.7558,32296.159053562813,-370.461,-50.8624,-55.0468,377.96625040471537,15.152195649659438
2008-05-28T02:39:42.698Z,11.28425,0.8443655000000001,-11.21885,15.934548832100338,30.2405,31238.225952917885,-369.26,-50.4656,-59.5126,377.4141941450003,14.387054651773909
2008-05-28T02:41:24.270Z,11.12185,1.067265,-11.06605,15.725522713259009,26.8313,26426.519732782614,-380.715,-53.1897,-53.6716,388.14133515724654,13.501063280205628
2008-05-28T02:42:59.043Z,11.025,0.977586,-10.973500000000001,15.586019428879077,27.1237,28334.317611130446,-381.676,-55.3098,-46.6493,388.47380882439165,13.671585613692443
2008-05-28T02:44:40.778Z,10.64205,0.971821,-10.57925,15.037226965801938,28.0075,30398.672486142517,-382.743,-53.1295,-45.4086,389.0718298376406,14.160558629134368
2008-05-28T02:46:13.319Z,10.58975,0.9533685000000001,-10.53445,14.967509925227784,27.4033,27390.815089149768,-378.382,-55.9472,-49.8611,385.7319748284422,13.618228391646452
2008-05-28T02:47:52.538Z,10.386299999999999,0.9975080000000001,-10.2865,14.652041910602904,28.5671,28671.221388171507,-382.073,-55.9607,-42.1107,388.4387832438723,14.396528852980357
